Treatment,Reach,Network,OLD Confinement,NEW Confinement,Mean valley width,Mean width of ind. Channel,Mean total width (m),Mean depth,Proportion jams with pools,Jams,Length (m),Jams/100m valley,Wood vol/100m valley,Total channel area ratio (m2/100 m length of valley),WoodVolPerArea,Up Y,Up X,Down Y,Down X
OU,CONYc,NSV,C,C,22,9.5,9.5,0.62,0.25,7,500,1.49,9.4,1013,0.009279368,40.18824,-105.59455,40.19138,-105.59125
OU,CONYu,NSV,U,P,24,7.7,7.7,0.5,0.67,6,500,1.43,16.22,949,0.017091675,40.18018,-105.59913,40.1831,-105.59646
OU,HUNTERSc,NSV,C,P,25,6.5,8.1,0.68,0.75,4,220,2,13.39,878,0.015250569,40.222319,-105.592116,40.22147,-105.59065
OU,HUNTERSu,NSV,U,P,25,4.6,5.5,0.64,0.57,7,500,1.74,9.57,623,0.015361156,40.22147,-105.59065,40.21871,-105.58769
OU,NSVC,NSV,C,C,10,7.4,7.4,0.6,0.29,7,485,1.61,6.02,666,0.009039039,40.2086,-105.61989,40.20676,-105.61539
OU,NSVH,NSV,U,U,47,3.8,9.2,0.45,0.69,29,275,12.61,102.9,2439,0.042189422,40.2156,-105.6386,40.21397,-105.63716
OU,NSVL,NSV,U,U,76,6.1,13.1,0.55,0.76,34,250,16.19,36.22,1805,0.020066482,40.2067,-105.61531,40.20683,-105.61285
OU,NSVU,NSV,U,U,61,6.8,32.3,0.55,0.81,26,500,5.59,70.05,2629,0.026645112,40.21026,-105.63235,40.21019,-105.62419
OU,OUZELu,NSV,U,P,39,8.6,12.3,0.49,0.83,6,550,1.2,26.69,1432,0.018638268,40.199794,-105.631989,40.200095,-105.625104
YU,GC,GC,PC,P,32,9.1,9.1,0.7,0.4,15,900,2.14,2.31,1023,0.002258065,40.3142,-105.63543,40.31712,-105.62923
YU,GLACIERc,GC,C,P,22,4.5,4.5,0.55,N/A,0,150,0,0.74,447,0.001655481,40.29754,-105.641026,40.29807,-105.63985
YU,GLACIERu,GC,U,U,100,6.7,8.7,0.57,0.62,13,500,2.99,24.69,1609,0.015344935,40.29557,-105.64761,40.29668,-105.64326
YU,MILLc,GC,C,C,11,5,5,0.44,0.67,6,260,2.31,5.99,500,0.01198,40.33309,-105.63264,40.33459,-105.63112
YU,MILLu,GC,U,P,21,3.7,3.7,0.44,0.67,3,380,0.86,5.87,399,0.014711779,40.32924,-105.63668,40.33143,-105.63446
YU,NSV,NSV,PC,C,23,8.4,8.4,0.71,0.4,5,400,1.61,12.89,1084,0.011891144,40.20031,-105.59602,40.198353,-105.593287
YU,OUZELa,NSV,PC,P,54,9.2,9.2,0.71,1,5,500,1,19.8,922,0.021475054,40.20057,-105.60916,40.19967,-105.60336
YU,OUZELb,NSV,PC,U,57,5.9,9.8,0.66,0.78,10,500,2.25,27.18,984,0.027621951,40.20267,-105.61883,40.20245,-105.61398
YU,OUZELc,NSV,C,C,19,7.8,7.8,0.66,0.5,4,250,1.78,17.02,869,0.019585731,40.19967,-105.60336,,
YM,CLP,SFP,PC,U,155,17.3,17.3,0.53,N/A,0,500,0,0.13,1901,6.84E-05,40.52362,-105.74799,40.52732,-105.7486
YM,MULL,Snowy,PC,P,24,5.1,7.4,0.46,0.25,4,500,0.82,10.31,649,0.015885978,41.23178,-106.38751,41.23053,-106.39306
YM,ROCK,Snowy,PC,U,89,6.5,7.3,0.47,N/A,0,500,0,0.59,983,0.000600203,41.43994,-106.18787,41.44335,-106.1888
YM,SFP,SFP,PC,P,51,12,12,0.9,0.29,7,1000,0.8,2.97,1366,0.002174231,40.6063,-105.5356,40.61113,-105.5323
YM,SFREN1,Snowy,PC,P,88,13.2,13.2,0.5,N/A,0,500,0,3.26,1462,0.002229822,41.25943,-106.41044,41.25892,-106.41545
YM,SFREN2,Snowy,PC,C,42,14.2,14.2,0.64,0.5,2,500,0.44,8.02,1575,0.005092063,41.23342,-106.46697,41.23132,-106.47099
