"","cat","X","Y","slope","heading_rad","elevRange_25","elevation","latRange_10","latRange_25","latRange_50","UAA","SPI"
"1",1,378416.88481142,4611509.70390297,0.997212741017805,-1.91374491425629,2.15966796875,2269.615234375,0.278076171875,2.9013671875,6.254150390625,80101.4123904887,16767.1880520045
"2",2,378471.597716812,4611737.67434211,0.708777490024522,-1.8235197440113,1.05126953125,2266.3505859375,0.092529296875,1.53759765625,2.709716796875,80278.2616038592,11056.5767352603
"3",3,381617.58977686,4610980.81248418,0.608151317286832,-1.7967222515489,1.137451171875,2270.1201171875,0.34765625,1.08056640625,0.8056640625,366206.175937566,104381.713214578
"4",4,381581.114506599,4611144.95120036,0.469509293621413,-1.24044858658368,1.595947265625,2267.60620117188,0.231689453125,1.755126953125,6.55859375,367057.647211305,147985.033063543
"5",5,381562.876871468,4611363.80282193,0.662214733117665,-1.5586434046356,8.060302734375,2265.130859375,2.742431640625,8.755126953125,8.800537109375,370973.74114445,85517.0917288496
"6",6,381581.114506599,4610889.62430853,NA,0,1.510986328125,2271.083984375,0.442626953125,1.45556640625,1.41015625,365780.887347619,109942.387363162
"7",7,381581.114506599,4610889.62430853,0,-1.5707963267949,1.510986328125,2271.083984375,0.572998046875,0.427734375,0.69384765625,365780.887347619,109942.387363162
"8",8,386642.058255371,4610488.39633565,NA,0,1.2353515625,2291.02392578125,0.26953125,1.62109375,2.83642578125,198766.370944453,27823.8644163116
"9",9,386751.484066155,4610588.70332887,0.691765206405249,-2.4321873523971,1.774169921875,2289.1396484375,0.92822265625,2.2099609375,4.648193359375,200339.372233571,81403.9057514564
"10",10,386870.028694505,4610670.77268696,0.756436694255651,-2.61892658633466,1.361572265625,2286.70361328125,0.4697265625,0.8193359375,4.768310546875,202306.492828845,27138.7216412982
"11",11,387034.167410681,4610761.96086261,0.94682011764899,-2.56124231513987,3.1943359375,2283.83178710938,1.629638671875,3.60888671875,5.9697265625,203452.295741188,79158.4027453826
"12",12,386642.058255371,4610479.27751809,0,-1.5707963267949,1.186279296875,2291.17944335938,0.2080078125,0.964599609375,1.75634765625,198766.370944453,27823.8644163116
"13",13,381809.084945732,4610369.8517073,0.400809841829996,-1.91658615907483,1.15576171875,2278.103515625,0.48388671875,0.710205078125,0.969970703125,2396892.66784434,677245.498493145
"14",14,381900.273121386,4610543.10924105,0.608195032324582,-1.74612029092647,1.991943359375,2275.65185546875,0.6552734375,0.873779296875,0.571044921875,2397213.00915357,2275309.03709425
"15",15,381809.084945732,4610707.24795722,0.282755649312203,-1.69848771952804,0.801513671875,2273.49755859375,0.49365234375,0.68994140625,0.786376953125,2402955.38837462,643646.392261275
"16",16,381982.342479474,4610798.43613288,0.55476596734599,-2.11098605285388,1.490966796875,2270.99609375,0.64111328125,1.369873046875,2.357177734375,2404625.22759921,889638.668133709
"17",17,382055.293019997,4610935.21839636,0.459892809143576,-2.01580326176615,1.833251953125,2269.13305664062,0.861572265625,1.654296875,8.453857421875,2405892.23864535,1004618.15849474
"18",18,382119.124742955,4611117.59474766,0.363532895236108,-1.81344436718191,9.843017578125,2267.373046875,3.048583984375,10.94921875,12.423095703125,2407759.94474645,1976339.98749204
"19",19,382164.718830781,4611327.32755167,0.45218638789041,-1.96633113233545,1.001953125,2265.603515625,0.322509765625,0.805419921875,3.773681640625,2408248.40711045,1633733.19603853
"20",20,381790.847310602,4610269.54471409,0,-1.5707963267949,1.130859375,2278.97192382812,0.7333984375,0.4892578125,1.037109375,2390885.79884586,2094949.88861415
"21",21,381799.966128167,4610269.54471409,NA,0,0.894287109375,2279.09594726562,0.234619140625,1.16748046875,1.8974609375,2390872.40385583,2094949.88861415
"22",22,381818.203763298,4610242.18826139,0.337872995880524,-1.37340076694551,1.32568359375,2279.431640625,0.811279296875,0.407958984375,0.410888671875,78805.0057775197,14919.137234435
"23",23,380723.945655455,4610296.90116678,0.853327914250355,-2.38535512899806,5.302734375,2290.53149414062,3.263427734375,5.97265625,9.232666015625,221415.501751057,193072.212600201
"24",24,380878.965554066,4610388.08934243,0.593596939281356,-2.63840317900982,2.031005859375,2287.48266601562,1.551025390625,1.576171875,9.44921875,240896.154560245,122865.665228439
"25",25,380988.391364851,4610488.39633565,0.799112988206166,-2.23881248027602,2.3310546875,2285.115234375,0.294921875,2.741943359375,6.125,243021.083388475,152980.793541899
"26",26,381143.411263462,4610643.41623427,0.7278621577772,-2.53558555325057,3.3046875,2282.36010742188,1.652099609375,3.61865234375,6.45361328125,243880.935631607,64491.4799173059
"27",27,381307.549979638,4610725.48559235,0.978052914025568,-2.6115066610476,0.834716796875,2279.28588867188,0.1796875,0.1484375,1.638916015625,245140.633277112,45341.4233629528
"28",28,381535.520418772,4610825.79258557,1.28899830890078,-2.70214093273637,2.581298828125,2272.3232421875,0.853271484375,0.929931640625,0.652099609375,247164.679706278,222572.204063666
"29",29,380650.995114932,4610205.71299113,NA,0,2.39794921875,2292.58618164062,1.409423828125,1.351318359375,3.0263671875,221034.286795537,111152.380616729
"30",30,380650.995114932,4610205.71299113,0,-1.5707963267949,2.39794921875,2292.58618164062,0.74072265625,1.294189453125,2.4453125,221034.286795537,111152.380616729
"31",31,380650.995114932,4610187.475356,1.48861277990098,-2.03444393581102,2.476806640625,2293.38232421875,0.97705078125,0.138916015625,5.8427734375,112068.084466822,111152.380616729
"32",32,385556.918965094,4609640.34630208,0.627599108106641,-2.35619449019396,1.572998046875,2311.47729492188,1.169677734375,2.097900390625,4.74951171875,50988.1701571074,21389.065004495
"33",33,385693.701228574,4609777.12856556,0.809753003980262,-2.41934033332059,2.08154296875,2309.00561523438,1.07373046875,2.203125,4.738037109375,52818.364927577,39978.3342883297
"34",34,385839.60230962,4609904.79201147,0.651060556456601,-2.4565097342628,2.655029296875,2305.72998046875,1.9677734375,3.046875,5.540283203125,53491.8465253208,12501.6186409244
"35",35,386031.097478492,4610050.69309252,0.511242626717706,-2.41236480290948,2.72412109375,2302.634765625,1.850341796875,2.97412109375,5.302490234375,61142.5660804494,42880.6050562079
"36",36,386149.642106842,4610169.23772087,1.2048354263456,-2.41773282868876,1.509765625,2301.67504882812,0.4990234375,1.9404296875,4.965087890625,61893.7998147366,9756.80724622196
"37",37,386359.374910845,4610333.37643704,0.630015202084099,-2.54365694974664,1.112060546875,2295.49389648438,0.494140625,1.24560546875,3.646484375,63938.9656696134,15708.957749637
"38",38,386541.751262152,4610451.92106539,0.846372662329722,-2.67820777462258,1.592529296875,2293.12939453125,0.332275390625,1.196533203125,3.026123046875,64867.481484579,19821.6934362264
"39",39,398669.778624075,4609649.46511964,0.613598578872958,-1.94542607959709,1.339599609375,2289.802734375,0.713623046875,1.177001953125,1.52734375,274563.530704381,153457.934482026
"40",40,398615.065718683,4609585.63339668,0.201421555358111,-1.1071487177992,1.1044921875,2291.529296875,0.0908203125,0.4833984375,0.59912109375,218380.539003963,137019.059404167
"41",41,398049.699029631,4608910.84089685,NA,0,0.797119140625,2309.47875976562,0.156982421875,0.460693359375,1.235595703125,190952.022714715,60234.3091259181
"42",42,398104.411935023,4608974.6726198,0.991190864768063,-1.93442957097686,1.34130859375,2308.05102539062,0.30517578125,0.1494140625,1.111328125,115341.613427833,17688.2211912977
"43",43,398168.24365798,4609102.33606572,0.695611101986348,-2.46234269773777,1.129150390625,2304.705078125,0.74755859375,0.8515625,1.006103515625,191459.541890759,104110.80231415
"44",44,398341.501191722,4609239.1183292,0.801157663444189,-2.4129627765206,0.873779296875,2301.25659179688,0.170166015625,0.145263671875,0.23486328125,192959.501953006,58327.5965393019
"45",45,398387.095279549,4609375.90059268,1.25894138773277,-1.9720722054246,1.998779296875,2297.36083984375,0.944580078125,1.067138671875,1.243896484375,193135.012320376,124209.085869723
"46",46,398523.877543029,4609521.80167373,0.95978496324159,-2.49420051384822,0.71435546875,2292.9560546875,0.18359375,0.27294921875,0.5380859375,192149.747737058,27785.7243023571
"47",47,398040.580212065,4608901.72207928,NA,-1.5707963267949,1.009521484375,2309.61450195312,0.145263671875,0.240478515625,0.706787109375,190951.020344369,30295.0730480829
"48",48,398031.4613945,4608874.36562659,0.83210611038781,-2.24553726902639,1.15576171875,2309.6767578125,0.704345703125,1.12548828125,1.371337890625,125223.733973543,33331.9941470612
"49",49,377742.092311584,4608810.53390363,1.67100138340229,-2.6826004902031,1.59375,2325.0751953125,0.414306640625,0.2890625,1.02490234375,29592.127167095,6719.11776888355
"50",50,377951.825115587,4608883.48444415,1.38156823912709,-2.79008765478018,1.2578125,2318.61010742188,0.175048828125,0.33642578125,0.791748046875,45061.6054447343,9146.85052809437
"51",51,378134.201466894,4608974.6726198,0.95709916903959,-2.44370525388696,1.0634765625,2313.95581054688,0.3427734375,0.799072265625,1.5986328125,51498.9928299053,9874.62185073619
"52",52,378298.340183071,4609157.04897111,0.865133527207065,-2.1194031089457,1.98828125,2310.03295898438,0.402587890625,0.47021484375,1.656982421875,76091.3238139925,16745.3617574094
"53",53,378371.290723593,4609312.06886972,0.631139749497635,-2.40052005295477,0.2861328125,2308.845703125,0.06298828125,0.1923828125,0.52294921875,84724.7104191984,3202.67997558746
"54",54,378544.548257335,4609412.37586294,0.517709627084429,-1.96411231836394,0.185546875,2305.22900390625,0.021240234375,0.815185546875,3.468994140625,83084.1413029144,2504.74346569608
"55",55,378562.785892466,4609640.34630208,0.94371640460132,-1.98978719731081,0.678466796875,2302.52661132812,0.204833984375,0.60400390625,1.045166015625,85979.3761587181,11406.8209857364
"56",56,378690.449338381,4609886.55437634,1.19556800856584,-1.97608122734187,1.4208984375,2296.58276367188,0.174560546875,1.34814453125,2.59033203125,111216.893640529,26088.6047390969
"57",57,378781.637514034,4610032.45545739,0.779969814260036,-2.47126360693961,1.051025390625,2292.931640625,0.516357421875,1.08056640625,2.220458984375,113251.550217029,23222.6559671384
