Name,Type,coordinates,drainageArea_km2,gradient_deg,confinementRatio,confinementCategory,basalArea_m2/ha,length_m,width_m,woodLoad_m3,coarseSed_m3,fineSed_m3,pom_m3
Fisher,NSV trib,"40.202452, 105.579159",0,0.4,3.7,PC,6.89,10,0.87,0.01,0,0,0.01
Cloud,NSV trib,"40.223562, 105.644598",0,5.1,4.54,PC,13.78,12.7,1.27,0.16,1.86,0,0
Chipmunk,NSV trib,"40.216953, 105.638896",0,14.5,1,C,25.25,10,0.66,0.06,0,0,0.01
Delaware,Hunter's trib,"40.226468, 105.592408",0.1,3.5,4.82,PC,4.59,10,0.75,0.05,0,0.01,0
Badger,Cony trib,"40.176517, 105.605396",0.11,1.1,5.37,PC,11.48,10.3,1.03,0.06,0.09,0,0
Diorite,Rock Creek trib,"40.202021, 105.485915",0.12,17.8,1,C,0,13,1.3,0.2,0.11,0,0
Gibcat,NSV trib,"40.202021, 105.485915",0.14,0.4,1.52,C,6.89,10.6,1.06,0.08,0,0,0.02
Otter,Cony trib,"40.16026, 105.53862",0.18,1.7,8.33,U,16.07,10,0.5,0.03,0,0.02,0.05
Granite,Rock Creek Trib,"40.178177, 105.602578",0.18,7.2,17.2,U,22.96,13,1.3,0.28,0.03,0.04,0.01
Tiger,NSV trib,"40.210216, 105.619136",0.23,12,1,C,16.07,11.4,1.14,0.02,0,0,0.01
Squirrel,Cony trib,"40.183391, 105.594817",0.26,2.5,10.7,U,6.89,17,1.7,0.23,0,0,0.1
Red Fox,Fox Creek trib,"40.195958, 105.549147",0.26,7.2,1,C,13.78,10,0.78,0.03,0,0.02,0
Hungry Rancher,Cabin trib,"40.227421, 105.486750",0.29,3.6,1,C,0,13,1.3,0.02,0,0,0
Shale,Rock Creek Trib,"40.20150, 105.48621",0.29,4.1,1,C,4.59,14.7,1.47,0.01,0,0,0.01
Jockey,Horse Creek Trib,"40.226393, 105.467703",0.31,8,1,C,2.3,12,1.2,0.32,0.01,0,0
Cabin Creek trib,trib,"40.237761, 105.562700",0.31,18.5,1,C,9.18,12.5,1.25,0.05,0.04,0,0
Illinois,Hunter's trib,"40.219506, 105.588575",0.47,1.5,14.6,U,11.48,16.6,1.66,0.1,0,0,0.17
Snowshoe Hare,NSV trib,"40.196537, 105.577082",0.52,33.6,1,C,4.59,10,0.75,0.08,0,0.01,0
Ermine,Cony trib,"40.183347, 105.597186",0.54,2.3,21.7,U,2.3,17.2,1.72,0.14,0,0.12,0.02
Maine,Hunter's trib,"40.229760, 105.600403",0.78,11.2,1,C,2.3,10,0.78,0.01,0,0,0
Screech Owl,Ouzel trib,"40.200866, 105.612922",0.86,3.5,3.75,PC,0,16,1.6,1.04,0.09,0,0
Marten,NSV trib,"40.196537, 105.578655",1.24,11.8,1,C,20.66,10,1.03,0.2,0,0.11,0.03
Long's,Cabin Trib,"40.236350, 105.493705",1.53,3.9,4.65,PC,9.18,23,2.3,0.18,0,0.25,0.01
Lynx,NSV trib,"40.212430, 105.622775",1.87,6,6.4,PC,22.96,20,2,0.71,0.43,0.3,0.37
Serval,NSV trib,"40.197317, 105.595556",2.05,16.1,1,C,2.3,15,1.5,1.42,0.89,0,0.07
Barbaro,Horse Creek main,"40.238429, 105.546111",2.13,2.6,1.86,C,6.89,19,1.9,0.24,0,0.03,0
Willow,main,"40.189028, 105.541578",2.2,5.2,5.8,PC,16.07,19,1.9,0.14,0,0,0
Rhode Island,Camper's creek,"40.218589, 105.573663",2.23,3.5,40,U,13.78,60,1.19,0.43,0.04,0.28,0.22
Muskrat,Cony trib,"40.177162, 105.603963",2.26,4.2,1,C,18.37,12.3,1.23,0.26,0.36,0.22,0.13
Thundercat,NSV trib,"40.222749, 105.640266",3.19,1.3,3.74,PC,18.37,20.3,2.03,0.15,0.19,0.01,0.03
Lightning,NSV main,"40.219819, 105.639914",3.24,8.1,7.1,PC,18.94,130,3.5,3.56,1.62,0.09,0.01
Gneiss,Rock Creek main,"40.161074, 105.541463",3.34,5.2,3.32,PC,11.48,21.3,2.13,0.28,0.06,0.06,0
Wolf,Sandbeach,"40.202498, 105.579192",3.53,0.2,1,C,0,10,0.95,0.02,0,0.09,0.02
Pika,Cony trib,"40.184282, 105.586568",3.6,0.5,23,U,18.37,20,2,0.39,0.12,1.1,0.05
Sandstone,Rock Creek trib,"40.171914, 105.529604",3.76,4.2,4.17,PC,6.89,20.7,2.07,0.27,0.45,0.02,0
Storm,NSV trib,"40.220863, 105.637217",3.91,2.2,2.53,PC,11.48,27.3,2.73,1.46,0.21,0,0
Mink,Cony Trib,"40.190716, 105.590693",4.12,7.7,4.77,PC,18.37,20,2,0.47,0.26,0,0
